Produto,Marca,Modelo,Categoria
FITA ADESIVA DUPLA FACE ESP ACR BR 19MMX 33M VHB-4970 HB004 3M HB004671119,3M,HB004671119,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"Soquete de Impacto Sextavado em aço Cromo Molibdênio 2.1/4"" - Encaixe 1'' 44918/023 TRAMONTINA PRO 44918023 TRAMONTINA PRO",TRAMONTINA PRO,44918/023,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
ESTUFA ELETRODO 220V 120G 10KG ECG10-220V CARBOGRAFITE,CARBOGRAFITE,ECG10-220V,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
JOGO DE SOQUETE TORX ENC. 1/2  E10 A E24 (8PÇS) TRAMONTINA,TRAMONTINA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"CALIBRADOR DE FOLGA EM LAMINA 300 X 0,40MM 600.042 KINGTOOLS",KINGTOOLS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
CHAVE COMBINADA 5/16 42245/101 TRAMONTINA. TRAMONTINA,TRAMONTINA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"CHAVE AJUSTAVEL 18MM 6"" A.FAISC 44207006 TRAMONTINA GARIBALDI",TRAMONTINA GARIBALDI,44207006,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"CALIBRADOR DE FOLGA EM LAMINA 12  X 1/2  X 0,001  667-1 STAR",STARRETT, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
IMPLEMENTO HT - KA MOTOPODA 1/4 30CM 12  71PM3 STIHL *,STIHL , ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"Cabeça 16mm de Chave Fixa 13/16"" para Torquímetro Estalo 8791-13/16 GEDORE 048483 GEDORE",GEDORE,8791-13/16,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
SUPORTE PARA EXTRACAO EXTERNA 1.40/5 040.952 GEDORE,GEDORE, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
ALICATE BOMBA D'AGUA 10  1571855 SPARTA,SPARTA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
SOQUETE SEXT DE IMPACTO 10MM CRMO 1/2 1320155 STELS. STELS,STELS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
CHAVE DE GARRAS P/ PORCA AMORTECEDOR TEMPRA 143343 RAVEN,RAVEN, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
DESEMPENO DE GRANITO 1000 X 750 X 150 517-307MSZ MITUTOYO,MITUTOYO, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
APLICADOR FITA ADESIVA 50MM AFA-050 WESTERN,WESTERN, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
CHAVE FIXA 10 X 11MM FOSFATIZADO 1432255 SPARTA. SPARTA,SPARTA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"ARCO SERRA FIXO 12"" AC ESP FECHAD 403 - GEDORE",GEDORE,403,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
Talhadeira para Martelo SDS Plus 20x250mm 2608690144 BOSCH 2608690144000 BOSCH,BOSCH,2608690144,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
CHAVE COMBINADA COM CATRACA DE 8MM ST43201ST SATA,SATA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
SABRE P/ MOTOSSERRA 25  (MS650/660/460) STIHL  3003-001-5631,STIHL , ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
CHAVE COMBINADA 2.1/4  CROMO-VANADIUM 002 580 (1B) GEDORE,GEDORE, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
"Alicate de Pressão 7"" Bico Longo 1058 175 BETA 010580017 BETA",BETA,1058 175,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Outras ferramentas manuais"
