ID Departamento,Departamento,ID Categoria,Categoria,ID subcategoria,Subcategoria
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S49,LUBRIFICANTES,C103,Graxas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S49,LUBRIFICANTES,C150,Óleos lubrificantes
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S49,LUBRIFICANTES,C183,Outros fluidos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S51,"PARTES MECÂNICAS, ROLAMENTOS E CORREIAS",C049,Amortecedores
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S51,"PARTES MECÂNICAS, ROLAMENTOS E CORREIAS",C104,Antiderrapantes para correias
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S51,"PARTES MECÂNICAS, ROLAMENTOS E CORREIAS",C151,Correias e componentes
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S51,"PARTES MECÂNICAS, ROLAMENTOS E CORREIAS",C184,Mancal
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S51,"PARTES MECÂNICAS, ROLAMENTOS E CORREIAS",C223,Molas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S51,"PARTES MECÂNICAS, ROLAMENTOS E CORREIAS",C253,Outros componentes de partes mecânicas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S51,"PARTES MECÂNICAS, ROLAMENTOS E CORREIAS",C277,Polias
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S51,"PARTES MECÂNICAS, ROLAMENTOS E CORREIAS",C297,Retentores
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S51,"PARTES MECÂNICAS, ROLAMENTOS E CORREIAS",C315,Rolamentos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S51,"PARTES MECÂNICAS, ROLAMENTOS E CORREIAS",C330,Tensores de correias
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S54,TUBOS E CONEXÕES,C051,Conexões
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S54,TUBOS E CONEXÕES,C097,Cotovelos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S54,TUBOS E CONEXÕES,C152,Joelhos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S54,TUBOS E CONEXÕES,C178,Luvas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S54,TUBOS E CONEXÕES,C224,Niples PVC
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S54,TUBOS E CONEXÕES,C249,Tubos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S54,TUBOS E CONEXÕES,C278,União
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S71,AUTOMAÇÃO INDUSTRIAL,C716,Conexões
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S71,AUTOMAÇÃO INDUSTRIAL,C717,Engates
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S71,AUTOMAÇÃO INDUSTRIAL,C718,Esteira
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S71,AUTOMAÇÃO INDUSTRIAL,C719,Filtros
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S71,AUTOMAÇÃO INDUSTRIAL,C720,Mangueiras
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S71,AUTOMAÇÃO INDUSTRIAL,C721,Outros materiais de automação industrial
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S71,AUTOMAÇÃO INDUSTRIAL,C722,Válvulas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S71,AUTOMAÇÃO INDUSTRIAL,C723,Ventosas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S72,EMBALAGENS,C724,Bobinas kraft ou semi kraft
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S72,EMBALAGENS,C725,Caixas de papelão
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S72,EMBALAGENS,C726,Embalagens descartáveis
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S72,EMBALAGENS,C727,Embalagens para delivery
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S72,EMBALAGENS,C728,Envelopes de segurança
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S72,EMBALAGENS,C729,Etiquetas e tags
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S72,EMBALAGENS,C730,Filme stretch
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S72,EMBALAGENS,C731,Fitas adesivas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S72,EMBALAGENS,C732,"Fitas, laços e cordões"
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S72,EMBALAGENS,C733,Lacres
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S72,EMBALAGENS,C734,Latas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S72,EMBALAGENS,C735,Pallets
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S72,EMBALAGENS,C736,Potes e vidros
